Row ID,State,Category,Sub-Category,Sales,Quantity,Profit
69,Arizona,Technology,Phones,167.968,4,62.988
70,Virginia,Office Supplies,Paper,75.88,2,35.6636
71,New York,Office Supplies,Binders,4.616,1,1.731
72,Michigan,Office Supplies,Paper,19.05,3,8.763
73,Tennessee,Furniture,Chairs,831.936,8,-114.3912
74,Tennessee,Furniture,Furnishings,97.04,2,1.213
75,Tennessee,Office Supplies,Storage,72.784,1,-18.196
76,Texas,Office Supplies,Binders,1.248,3,-1.9344
77,Texas,Furniture,Furnishings,9.708,3,-5.8248
78,Texas,Office Supplies,Storage,27.24,3,2.724
79,Texas,Furniture,Furnishings,19.3,5,-14.475
80,Alabama,Office Supplies,Appliances,208.16,1,56.2032
81,Alabama,Office Supplies,Binders,16.74,3,8.0352
82,California,Office Supplies,Art,14.9,5,4.172
83,California,Office Supplies,Storage,21.39,1,6.2031
84,North Carolina,Office Supplies,Envelopes,200.984,7,62.8075
85,Illinois,Office Supplies,Storage,230.376,3,-48.9549
86,South Carolina,Furniture,Chairs,301.96,2,33.2156
87,Minnesota,Technology,Accessories,19.99,1,6.7966
88,Minnesota,Office Supplies,Labels,6.16,2,2.9568
89,Texas,Office Supplies,Storage,158.368,7,13.8572
90,California,Office Supplies,Art,20.1,3,6.633
91,California,Technology,Phones,73.584,2,8.2782
92,California,Office Supplies,Paper,6.48,1,3.1104
93,Minnesota,Office Supplies,Paper,12.96,2,6.2208
94,Minnesota,Furniture,Furnishings,53.34,3,16.5354
95,Minnesota,Office Supplies,Binders,32.96,2,16.1504
96,Oregon,Office Supplies,Binders,5.682,1,-3.788
97,New York,Furniture,Furnishings,96.53,7,40.5426
98,California,Office Supplies,Binders,51.312,3,17.9592
99,Minnesota,Office Supplies,Appliances,77.88,6,22.5852
100,Illinois,Office Supplies,Paper,64.624,7,22.6184
101,Illinois,Technology,Accessories,95.976,3,-10.7973
102,Illinois,Office Supplies,Binders,1.788,3,-3.0396
103,Minnesota,Office Supplies,Paper,23.92,4,11.7208
104,Colorado,Technology,Accessories,238.896,6,-26.8758
105,Colorado,Furniture,Furnishings,102.36,3,-3.8385
106,Colorado,Office Supplies,Binders,36.882,3,-25.8174
107,North Carolina,Technology,Accessories,74.112,8,17.6016
108,North Carolina,Technology,Phones,27.992,1,2.0994
109,North Carolina,Office Supplies,Art,3.304,1,1.0738
110,Illinois,Technology,Accessories,339.96,5,67.992
111,New York,Furniture,Furnishings,41.96,2,10.9096
112,Iowa,Office Supplies,Art,75.96,2,22.788
113,Iowa,Office Supplies,Binders,27.24,6,13.3476
114,Ohio,Office Supplies,Fasteners,40.096,14,14.5348
115,Ohio,Office Supplies,Envelopes,4.72,2,1.652
116,Ohio,Office Supplies,Paper,23.976,3,7.4925
117,Ohio,Office Supplies,Envelopes,130.464,6,44.0316
118,Washington,Furniture,Tables,787.53,3,165.3813
119,Tennessee,Office Supplies,Binders,157.794,1,-115.7156
120,Delaware,Furniture,Furnishings,47.04,3,18.3456
121,Delaware,Office Supplies,Binders,30.84,4,13.878
122,Delaware,Office Supplies,Storage,226.56,6,63.4368
123,Delaware,Office Supplies,Envelopes,115.02,9,51.759
124,Delaware,Technology,Phones,68.04,7,19.7316
125,Texas,Furniture,Chairs,600.558,3,-8.5794
126,Illinois,Furniture,Tables,617.7,6,-407.682
127,Arizona,Office Supplies,Binders,2.388,2,-1.8308
128,Arizona,Office Supplies,Storage,243.992,7,30.499
129,California,Furniture,Chairs,81.424,2,-9.1602
130,California,Furniture,Furnishings,238.56,3,26.2416
131,Ohio,Technology,Phones,59.97,5,-11.994
132,Ohio,Office Supplies,Paper,78.304,2,29.364
133,Ohio,Office Supplies,Fasteners,21.456,9,6.9732
134,California,Office Supplies,Paper,20.04,3,9.6192
135,California,Office Supplies,Paper,35.44,1,16.6568
136,California,Office Supplies,Art,11.52,4,3.456
137,California,Office Supplies,Fasteners,4.02,2,1.9698
138,California,Office Supplies,Binders,76.176,3,26.6616
139,California,Office Supplies,Supplies,65.88,6,18.4464
140,California,Furniture,Furnishings,43.12,14,20.6976
141,Pennsylvania,Furniture,Furnishings,82.8,2,10.35
142,California,Office Supplies,Art,8.82,3,2.3814
143,California,Office Supplies,Envelopes,10.86,3,5.1042
144,California,Office Supplies,Paper,143.7,3,68.976
145,Missouri,Office Supplies,Appliances,839.43,3,218.2518
146,California,Office Supplies,Storage,671.93,7,20.1579
147,Ohio,Furniture,Furnishings,93.888,4,12.9096
148,Wisconsin,Technology,Phones,384.45,11,103.8015
149,Wisconsin,Technology,Phones,149.97,3,5.9988
150,Wisconsin,Furniture,Chairs,1951.84,8,585.552
151,Wisconsin,Office Supplies,Binders,171.55,5,80.6285
152,Arizona,Office Supplies,Appliances,157.92,5,17.766
153,Arizona,Technology,Phones,203.184,2,15.2388
154,California,Office Supplies,Paper,58.38,7,26.271
155,California,Office Supplies,Paper,105.52,4,48.5392
156,California,Office Supplies,Storage,80.88,6,21.0288
157,Washington,Office Supplies,Art,6.63,3,1.7901
158,Washington,Furniture,Chairs,457.568,2,51.4764
159,Oklahoma,Office Supplies,Labels,14.62,2,6.8714
160,Oklahoma,Technology,Phones,944.93,7,236.2325
161,California,Office Supplies,Paper,5.98,1,2.691
162,Pennsylvania,Technology,Accessories,54.384,2,1.3596
163,New Mexico,Office Supplies,Envelopes,28.4,5,13.348
164,Washington,Office Supplies,Binders,27.68,2,9.688
165,Texas,Office Supplies,Art,9.936,3,2.7324
166,Texas,Technology,Machines,8159.952,8,-1359.992
167,Texas,Office Supplies,Storage,275.928,3,-58.6347
168,Texas,Furniture,Chairs,1740.06,9,-24.858
169,Texas,Office Supplies,Art,32.064,6,6.8136
170,Texas,Office Supplies,Appliances,177.98,5,-453.849
171,Texas,Technology,Phones,143.976,3,8.9985
172,California,Office Supplies,Paper,20.94,3,9.8418
173,California,Office Supplies,Paper,110.96,2,53.2608
174,California,Furniture,Chairs,340.144,7,21.259
175,Illinois,Office Supplies,Appliances,52.448,2,-131.12
176,Illinois,Office Supplies,Labels,20.16,4,6.552
177,Texas,Office Supplies,Appliances,97.264,4,-243.16
178,Ohio,Furniture,Chairs,396.802,7,-11.3372
179,Ohio,Office Supplies,Supplies,15.88,5,-3.7715
180,New York,Office Supplies,Art,3.28,1,1.4104
181,Illinois,Office Supplies,Storage,24.816,2,1.8612
182,Illinois,Technology,Accessories,408.744,7,76.6395
183,Louisiana,Technology,Phones,503.96,4,131.0296
184,Louisiana,Technology,Phones,149.95,5,41.986
185,Louisiana,Technology,Accessories,29,2,7.25
186,Connecticut,Office Supplies,Binders,7.16,2,3.4368
187,California,Technology,Accessories,176.8,8,22.984
188,Texas,Office Supplies,Storage,37.224,3,3.7224
189,Texas,Office Supplies,Paper,20.016,3,6.255
190,New York,Furniture,Bookcases,899.136,4,112.392
191,New York,Technology,Phones,71.76,6,20.0928
192,New York,Office Supplies,Paper,51.84,8,24.8832
193,New York,Furniture,Bookcases,626.352,3,46.9764
194,New York,Office Supplies,Art,19.9,5,6.567
195,California,Office Supplies,Envelopes,14.28,7,6.7116
196,Ohio,Office Supplies,Art,7.408,2,1.2038
197,Ohio,Office Supplies,Art,6.048,3,1.5876
198,New Jersey,Office Supplies,Storage,46.26,3,12.0276
199,Pennsylvania,Office Supplies,Binders,2.946,2,-2.2586
200,Pennsylvania,Office Supplies,Paper,16.056,3,5.8203
201,Ohio,Office Supplies,Paper,21.744,3,6.795
202,Colorado,Furniture,Tables,218.75,2,-161.875
203,Colorado,Office Supplies,Appliances,2.6,1,0.2925
204,Texas,Office Supplies,Appliances,66.284,2,-178.9668
205,Tennessee,Furniture,Furnishings,35.168,7,9.6712
206,California,Technology,Phones,444.768,4,44.4768
207,Michigan,Office Supplies,Storage,83.92,4,5.8744
208,Michigan,Technology,Phones,131.98,2,35.6346
209,Michigan,Office Supplies,Binders,15.92,4,7.4824
210,Michigan,Office Supplies,Fasteners,52.29,9,16.2099
211,Michigan,Office Supplies,Storage,91.99,1,3.6796
212,Texas,Technology,Accessories,20.8,2,6.5
213,Ohio,Office Supplies,Labels,23.68,2,8.88
214,Ohio,Furniture,Bookcases,452.45,5,-244.323
215,Ohio,Technology,Phones,62.982,3,-14.6958
216,Ohio,Technology,Machines,1188,9,-950.4
217,Ohio,Technology,Accessories,89.584,2,4.4792
218,California,Office Supplies,Storage,93.06,6,26.0568
219,California,Technology,Phones,302.376,3,22.6782
220,Ohio,Office Supplies,Fasteners,5.584,2,1.8148
221,Ohio,Office Supplies,Paper,22.704,6,8.2302
222,Ohio,Office Supplies,Binders,19.776,4,-13.8432
223,Ohio,Furniture,Furnishings,72.704,4,19.0848
224,Ohio,Technology,Machines,479.988,4,-383.9904
225,Ohio,Office Supplies,Art,27.168,2,2.7168
226,Michigan,Office Supplies,Art,2.2,1,0.968
227,Michigan,Furniture,Tables,622.45,5,136.939
228,Michigan,Office Supplies,Storage,21.98,1,0.2198
229,Tennessee,Furniture,Chairs,161.568,2,-28.2744
230,Tennessee,Furniture,Chairs,389.696,8,43.8408
231,North Carolina,Office Supplies,Binders,18.648,7,-12.432
232,Florida,Furniture,Tables,233.86,2,-102.048
233,Florida,Furniture,Tables,620.6145,3,-248.2458
234,Florida,Office Supplies,Binders,5.328,2,-3.552
235,Florida,Furniture,Furnishings,258.072,3,0
236,Florida,Technology,Accessories,617.976,3,-7.7247
237,California,Office Supplies,Paper,10.56,2,4.752
238,Illinois,Office Supplies,Paper,25.92,5,9.396
239,Illinois,Furniture,Furnishings,419.68,5,-356.728
240,Illinois,Furniture,Furnishings,11.688,3,-4.6752
241,Illinois,Technology,Phones,31.984,2,11.1944
242,Illinois,Furniture,Tables,177.225,5,-120.513
243,Illinois,Furniture,Furnishings,4.044,3,-2.8308
244,Illinois,Office Supplies,Art,7.408,2,1.2038
245,Minnesota,Furniture,Chairs,2001.86,7,580.5394
246,Minnesota,Office Supplies,Storage,166.72,2,41.68
247,Minnesota,Office Supplies,Paper,47.88,6,23.94
248,Minnesota,Office Supplies,Appliances,1503.25,5,496.0725
249,Minnesota,Office Supplies,Paper,25.92,4,12.4416
250,California,Furniture,Chairs,321.568,2,28.1372
251,California,Office Supplies,Paper,7.61,1,3.5767
252,California,Technology,Accessories,3347.37,13,636.0003
253,New York,Office Supplies,Storage,80.58,6,22.5624
254,New York,Office Supplies,Envelopes,361.92,4,162.864
255,Illinois,Furniture,Furnishings,12.132,9,-8.4924
256,Illinois,Office Supplies,Storage,82.368,2,-19.5624
257,Illinois,Office Supplies,Storage,53.92,5,4.044
258,Illinois,Technology,Phones,647.904,6,56.6916
259,New York,Technology,Accessories,20.37,3,6.9258
260,New York,Office Supplies,Storage,221.55,3,6.6465
261,New York,Office Supplies,Binders,17.52,5,6.132
262,Texas,Office Supplies,Appliances,1.624,2,-4.466
263,Texas,Technology,Machines,3059.982,3,-509.997
264,Texas,Technology,Machines,2519.958,7,-251.9958
265,Illinois,Technology,Phones,328.224,4,28.7196
266,California,Technology,Accessories,79.9,2,35.156
267,North Carolina,Office Supplies,Art,14.016,3,4.7304
268,New Jersey,Office Supplies,Fasteners,7.56,6,0.3024
269,Ohio,Office Supplies,Storage,37.208,1,-7.4416
270,Ohio,Office Supplies,Envelopes,57.576,3,21.591
271,California,Office Supplies,Storage,725.84,4,210.4936
272,California,Technology,Accessories,209.93,7,92.3692
273,California,Furniture,Furnishings,5.28,3,2.3232
274,California,Office Supplies,Binders,10.92,3,4.095
275,California,Office Supplies,Paper,8.82,2,4.0572
276,California,Office Supplies,Art,5.98,1,1.5548
277,Pennsylvania,Office Supplies,Paper,11.648,2,4.0768
278,Pennsylvania,Office Supplies,Paper,18.176,4,5.9072
279,Pennsylvania,Office Supplies,Storage,59.712,6,5.9712
280,Pennsylvania,Office Supplies,Labels,24.84,3,8.694
281,Texas,Office Supplies,Binders,2.08,5,-3.432
282,Texas,Technology,Phones,1114.4,7,376.11
283,California,Furniture,Tables,1038.84,5,51.942
284,Oregon,Office Supplies,Paper,141.76,5,47.844
285,Oregon,Technology,Accessories,239.8,5,47.96
286,Oregon,Office Supplies,Paper,31.104,6,10.8864
287,Florida,Office Supplies,Binders,254.058,7,-169.372
288,Florida,Office Supplies,Appliances,194.528,2,24.316
289,Florida,Office Supplies,Supplies,961.48,5,-204.3145
290,Ohio,Office Supplies,Fasteners,19.096,7,6.6836
291,Ohio,Office Supplies,Labels,18.496,8,6.2424
292,Ohio,Technology,Accessories,255.984,2,54.3966
293,Ohio,Furniture,Bookcases,86.97,3,-48.7032
294,Colorado,Furniture,Furnishings,300.416,8,78.8592
295,Colorado,Furniture,Chairs,230.352,3,20.1558
296,Colorado,Furniture,Furnishings,218.352,3,-24.5646
297,Colorado,Office Supplies,Binders,78.6,5,-62.88
298,Colorado,Office Supplies,Fasteners,27.552,3,9.2988
299,New Jersey,Office Supplies,Paper,32.4,5,15.552
300,New Jersey,Office Supplies,Storage,1082.48,8,10.8248
301,New Jersey,Office Supplies,Paper,56.91,3,27.3168
302,New Jersey,Furniture,Furnishings,77.6,4,38.024
303,New Jersey,Office Supplies,Binders,14.28,1,6.5688
304,Illinois,Furniture,Tables,219.075,3,-131.445
305,New York,Furniture,Furnishings,26.8,2,12.864
306,Michigan,Office Supplies,Art,9.84,3,2.8536
307,New Jersey,Office Supplies,Binders,45.48,3,20.9208
308,New Jersey,Office Supplies,Art,289.2,6,83.868
309,Virginia,Office Supplies,Art,4.89,1,2.0049
310,Colorado,Furniture,Furnishings,15.136,4,3.5948
311,Colorado,Furniture,Chairs,466.768,2,52.5114
312,Colorado,Furniture,Furnishings,15.232,1,1.7136
313,Colorado,Office Supplies,Labels,6.264,3,2.0358
314,New Jersey,Furniture,Furnishings,87.54,3,37.6422
315,Florida,Technology,Phones,178.384,2,22.298
316,Florida,Office Supplies,Paper,15.552,3,5.4432
317,Pennsylvania,Office Supplies,Art,99.136,4,8.6744
318,New York,Furniture,Chairs,135.882,1,24.1568
319,New York,Technology,Machines,3991.98,2,1995.99
320,New York,Technology,Phones,275.94,6,80.0226
321,New York,Technology,Accessories,360,4,129.6
322,New York,Office Supplies,Storage,43.57,1,13.071
323,California,Office Supplies,Fasteners,7.16,2,3.58
324,California,Office Supplies,Binders,251.52,6,81.744
325,California,Technology,Accessories,99.99,1,34.9965
326,Tennessee,Furniture,Furnishings,15.992,1,0.9995
327,Pennsylvania,Technology,Phones,290.898,3,-67.8762
328,Pennsylvania,Office Supplies,Storage,54.224,2,3.389
329,Pennsylvania,Furniture,Chairs,786.744,4,-258.5016
330,Pennsylvania,Office Supplies,Labels,100.24,10,33.831
331,Pennsylvania,Office Supplies,Binders,37.764,6,-27.6936
332,Pennsylvania,Technology,Phones,82.8,2,-20.7
333,Pennsylvania,Office Supplies,Binders,20.724,2,-13.816
334,Pennsylvania,Office Supplies,Binders,4.896,3,-3.4272
335,California,Office Supplies,Binders,4.752,1,1.6038
336,California,Technology,Copiers,959.984,2,335.9944
337,California,Office Supplies,Binders,14.368,4,4.49
338,California,Office Supplies,Binders,7.712,2,2.7956
339,California,Furniture,Tables,698.352,3,-17.4588
340,Utah,Office Supplies,Fasteners,4.96,4,2.3312
341,Pennsylvania,Office Supplies,Art,17.856,4,1.116
342,Pennsylvania,Office Supplies,Binders,509.97,10,-407.976
343,Pennsylvania,Office Supplies,Fasteners,30.992,13,10.0724
344,Pennsylvania,Technology,Phones,71.928,12,8.3916
345,Texas,Office Supplies,Storage,88.8,4,-2.22
346,California,Technology,Phones,47.976,3,4.7976
347,Massachusetts,Office Supplies,Art,7.56,3,3.0996
348,Massachusetts,Office Supplies,Paper,24.56,2,11.5432
349,Massachusetts,Office Supplies,Art,12.96,2,4.1472
350,New York,Technology,Accessories,6.79,1,2.3086
351,New York,Office Supplies,Paper,24.56,2,11.5432
352,New York,Office Supplies,Binders,3.048,1,1.0668
353,New York,Office Supplies,Paper,49.12,4,23.0864
354,New York,Office Supplies,Binders,4355.168,4,1415.4296
355,New York,Furniture,Bookcases,388.704,6,-4.8588
356,New York,Office Supplies,Envelopes,8.26,2,3.7996
357,New York,Office Supplies,Art,17.04,4,6.9864
358,New York,Office Supplies,Paper,34.4,5,15.824
359,North Carolina,Office Supplies,Paper,36.24,5,11.325
360,Georgia,Office Supplies,Appliances,647.84,8,168.4384
361,Georgia,Office Supplies,Labels,20.7,2,9.936
362,New York,Office Supplies,Labels,20.7,2,9.936
363,New York,Furniture,Chairs,488.646,3,86.8704
364,New York,Office Supplies,Art,5.56,2,1.4456
365,New York,Furniture,Furnishings,47.12,8,20.7328
366,California,Office Supplies,Storage,211.96,4,8.4784
367,Connecticut,Office Supplies,Binders,23.2,4,10.44
368,Connecticut,Office Supplies,Supplies,7.36,2,0.1472
369,Connecticut,Office Supplies,Storage,104.79,7,29.3412
370,Connecticut,Furniture,Bookcases,1043.92,4,271.4192
371,Texas,Office Supplies,Paper,25.92,5,9.396
372,Texas,Office Supplies,Storage,53.424,3,4.6746
373,Arizona,Office Supplies,Binders,8.16,5,-5.712
374,Arizona,Technology,Accessories,1023.936,8,179.1888
375,Arizona,Office Supplies,Art,9.24,1,0.924
376,Arizona,Technology,Accessories,479.04,10,-29.94
377,Illinois,Office Supplies,Paper,99.136,4,30.98
378,Massachusetts,Furniture,Tables,1488.424,7,-297.6848
379,Texas,Office Supplies,Appliances,8.652,3,-20.3322
380,Texas,Office Supplies,Storage,23.832,3,2.6811
381,Texas,Office Supplies,Binders,12.176,4,-18.8728
382,California,Office Supplies,Paper,50.96,7,25.48
383,California,Office Supplies,Binders,49.536,3,17.3376
384,Michigan,Technology,Accessories,41.9,2,8.799
385,Florida,Furniture,Tables,375.4575,3,-157.0095
386,Florida,Technology,Accessories,83.976,3,-1.0497
387,Pennsylvania,Technology,Machines,482.34,4,-337.638
388,Pennsylvania,Furniture,Furnishings,2.96,1,0.777
389,Ohio,Office Supplies,Art,2.624,1,0.4264
390,New York,Office Supplies,Binders,23.36,4,7.884
391,New York,Technology,Accessories,39.98,2,13.5932
392,Washington,Technology,Phones,246.384,2,27.7182
393,Washington,Technology,Copiers,1799.97,3,701.9883
394,Illinois,Office Supplies,Binders,12.462,3,-20.5623
395,Nevada,Office Supplies,Binders,75.792,3,25.5798
396,Rhode Island,Office Supplies,Storage,49.96,2,9.4924
397,Rhode Island,Office Supplies,Paper,12.96,2,6.2208
398,Michigan,Office Supplies,Supplies,70.12,4,21.036
399,Texas,Office Supplies,Storage,35.952,3,3.5952
400,Texas,Furniture,Bookcases,2396.2656,4,-317.1528
401,Texas,Office Supplies,Storage,131.136,4,-32.784
402,Texas,Technology,Accessories,57.584,2,0.7198
403,Florida,Office Supplies,Paper,9.568,2,3.4684
404,North Carolina,Office Supplies,Art,39.072,6,9.768
405,New York,Office Supplies,Appliances,35.91,3,9.6957
406,California,Technology,Accessories,179.95,5,37.7895
407,California,Technology,Copiers,1199.976,3,434.9913
408,California,Office Supplies,Paper,27.15,5,13.3035
409,California,Furniture,Tables,1004.024,7,-112.9527
410,California,Office Supplies,Paper,9.68,1,4.6464
411,California,Office Supplies,Labels,28.35,9,13.608
412,California,Office Supplies,Paper,55.98,1,27.4302
413,California,Furniture,Bookcases,1336.829,13,31.4548
414,California,Furniture,Chairs,113.568,2,-18.4548
415,Washington,Office Supplies,Paper,139.86,7,65.7342
416,Washington,Furniture,Chairs,307.136,4,26.8744
417,California,Office Supplies,Art,95.92,8,25.8984
418,California,Furniture,Chairs,383.8,5,38.38
419,Kentucky,Office Supplies,Paper,5.78,1,2.8322
420,California,Office Supplies,Art,9.32,4,2.7028
421,California,Office Supplies,Envelopes,15.25,1,7.015
422,Colorado,Technology,Accessories,196.752,6,56.5662
423,Massachusetts,Furniture,Furnishings,56.56,4,14.7056
424,Massachusetts,Office Supplies,Storage,32.7,3,8.502
425,Mississippi,Furniture,Chairs,866.4,4,225.264
426,Michigan,Furniture,Furnishings,28.4,2,11.076
427,Michigan,Office Supplies,Binders,287.92,8,138.2016
428,New York,Technology,Machines,69.99,1,30.0957
429,Texas,Office Supplies,Art,6.672,6,0.5004
430,North Carolina,Office Supplies,Binders,189.588,2,-145.3508
431,North Carolina,Technology,Accessories,408.744,7,76.6395
432,North Carolina,Technology,Accessories,291.96,5,54.7425
433,North Carolina,Office Supplies,Storage,4.768,2,-0.7748
434,Massachusetts,Office Supplies,Storage,714.3,5,207.147
435,Florida,Office Supplies,Binders,4.812,2,-3.6892
436,Florida,Technology,Accessories,247.8,5,-18.585
437,Illinois,Technology,Machines,1007.979,3,43.1991
438,Illinois,Office Supplies,Paper,313.488,7,113.6394
439,Texas,Office Supplies,Paper,31.872,8,11.5536
440,New York,Furniture,Chairs,207.846,3,2.3094
441,Michigan,Furniture,Furnishings,12.22,1,3.666
442,Michigan,Office Supplies,Storage,194.94,3,23.3928
443,Michigan,Office Supplies,Storage,70.95,3,20.5755
444,Michigan,Office Supplies,Paper,91.36,4,42.0256
445,Michigan,Furniture,Chairs,242.94,3,29.1528
446,Michigan,Office Supplies,Labels,22.05,7,10.584
447,Indiana,Furniture,Furnishings,2.91,1,1.3677
448,New York,Office Supplies,Art,59.52,3,15.4752
449,New York,Office Supplies,Storage,161.94,3,9.7164
450,New York,Office Supplies,Art,263.88,6,71.2476
451,New York,Office Supplies,Art,30.48,3,7.9248
452,New York,Office Supplies,Art,9.84,3,2.8536
453,New York,Technology,Phones,35.12,4,9.1312
454,Ohio,Furniture,Tables,284.364,2,-75.8304
455,Ohio,Office Supplies,Storage,665.408,2,66.5408
456,Oklahoma,Technology,Accessories,63.88,4,24.9132
457,California,Furniture,Chairs,129.568,2,-24.294
458,Illinois,Furniture,Chairs,747.558,3,-96.1146
459,Illinois,Office Supplies,Envelopes,8.928,2,3.348
460,Washington,Office Supplies,Appliances,103.92,4,36.372
461,Washington,Technology,Accessories,899.91,9,377.9622
462,Washington,Office Supplies,Binders,51.312,3,18.6006
463,Arizona,Furniture,Furnishings,23.56,5,7.068
464,Arizona,Furniture,Tables,1272.63,6,-814.4832
465,Arizona,Office Supplies,Binders,28.485,5,-20.889
466,Arizona,Office Supplies,Supplies,185.376,2,-34.758
467,Arizona,Office Supplies,Appliances,78.272,2,5.8704
468,Illinois,Furniture,Furnishings,254.744,7,-312.0614
469,Texas,Furniture,Bookcases,205.3328,2,-36.2352
470,Illinois,Office Supplies,Binders,4.788,3,-7.9002
471,New York,Office Supplies,Paper,55.48,1,26.6304
472,California,Office Supplies,Storage,340.92,3,3.4092
473,California,Furniture,Bookcases,222.666,2,10.4784
474,California,Technology,Phones,703.968,4,87.996
475,California,Office Supplies,Storage,92.52,6,24.9804
476,California,Office Supplies,Paper,62.65,7,28.819
477,California,Office Supplies,Paper,94.85,5,45.528
478,California,Technology,Phones,95.76,6,7.182
479,New York,Furniture,Furnishings,40.2,3,19.296
480,New York,Office Supplies,Art,14.7,5,6.615
481,New York,Office Supplies,Storage,704.25,5,84.51
482,California,Technology,Accessories,9.09,3,1.9089
483,New York,Office Supplies,Art,5.96,2,1.6688
484,New York,Technology,Accessories,159.98,2,57.5928
485,California,Office Supplies,Labels,29.6,2,14.8
486,California,Furniture,Bookcases,514.165,5,-30.245
487,California,Technology,Phones,279.96,5,17.4975
488,Illinois,Technology,Phones,2735.952,6,341.994
489,Texas,Technology,Phones,7.992,1,0.5994
490,Texas,Technology,Accessories,63.984,2,10.3974
491,Texas,Office Supplies,Art,70.368,2,6.1572
492,New York,Office Supplies,Storage,449.15,5,8.983
493,New York,Office Supplies,Envelopes,11.07,3,5.0922
494,Washington,Technology,Accessories,93.98,2,13.1572
495,Tennessee,Furniture,Tables,189.882,3,-94.941
496,Arkansas,Office Supplies,Envelopes,105.42,2,51.6558
497,California,Office Supplies,Binders,119.616,8,40.3704
498,California,Furniture,Furnishings,255.76,4,81.8432
499,California,Furniture,Chairs,241.568,2,18.1176
500,California,Furniture,Furnishings,69.3,9,22.869
501,Colorado,Office Supplies,Binders,22.62,2,-15.08
502,Colorado,Office Supplies,Binders,14.952,2,-11.9616
