Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
104,Discoverer,Atos,Bulgaria,2021,Academic,144384,2600,,4518.87,5942,,,Cluster,AMD Zen-2 (Rome),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR",91
105,Jean Zay,HPE,France,2019,Academic,93960,2500,83520,4478,7345.562,,,Cluster,Intel Cascade lake,RHEL 6.8,Linux,NVIDIA Tesla V100 SXM2,20,HPE SGI 8600,Europe,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",92
106,Wisteria/BDEC-01 (Aquarius),Fujitsu,Japan,2021,Academic,42120,2400,38880,4425,7268.83,183.93,24.05806557,Cluster,Intel Ice Lake,Linux,Linux,NVIDIA A100 SXM4 40 GB,36,Fujitsu PRIMERGY,Asia,"PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR",93
107,Atlas,Atos,Brazil,2020,Industry,91936,2600,87040,4376,8848.486,546.58,8.006147316,Cluster,Intel Cascade lake,CentOS,Linux,NVIDIA Tesla V100,18,Bull Cluster,South America,"Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",94
108,Advanced Computing System(PreE),Sugon,China,2018,Vendor,163840,2000,131072,4325,6134.1696,380,11.38157895,Cluster,X86_64,CentOS,Linux,Deep Computing Processor,32,Sugon Cluster,Asia,"Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus",95
109,CRONOS,Atos,France,2020,Industry,81600,2400,,4299.33,7136.87,1225.53,3.508139336,Cluster,Intel Cascade lake,Linux,Linux,None,24,BullSequana,Europe,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",96
110,Oakbridge-CX,Fujitsu,Japan,2019,Academic,76608,2700,,4289.85,6618.931,845.09,5.076204901,Cluster,Intel Cascade lake,Linux,Linux,None,28,Fujitsu PRIMERGY,Asia,"Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-Path",97
111,SNL/NNSA CTS-1 Manzano,Penguin Computing,United States,2020,Research,71424,2900,,4281,6628.15,960,4.459375,Cluster,Intel Cascade lake,Linux/TOSS,Linux,None,24,Penguin Computing Cluster,North America,"Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path",98
112,,HPE,Japan,2019,Research,70416,2300,66560,4128,5783.808,,,Cluster,Intel Skylake,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,HP Apollo,Asia,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",99
113,JOLIOT-CURIE SKL,Atos,France,2017,Research,79488,2700,,4065.55,6635.52,917,4.433533261,Cluster,Intel Skylake,bullx SCS,Linux,None,24,BullSequana,Europe,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR",101
114,Abel,HPE,United States,2015,Industry,145920,2300,,4042.46,5369.856,1800,2.245811111,MPP,Intel Haswell,Cray Linux Environment,Linux,None,16,Cray XC,North America,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",102
115,Warhawk,HPE,United States,2021,Government,129920,2600,,4033.5,5404.67,,,MPP,AMD Zen-2 (Rome),SLES15 SP2,Linux,None,64,HPE Cray EX,North America,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",
116,DGX Saturn V,Nvidia,United States,2018,Vendor,87040,2200,81920,3998,7414.78,,,Cluster,Intel Broadwell,Ubuntu,Linux,NVIDIA Tesla V100,20,NVIDIA DGX,North America,"NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR",123
117,,HPE,United Kingdom,2016,Research,126468,2100,,3944.68,4249.325,1897.02,2.079408757,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Europe,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",103
118,,HPE,United Kingdom,2016,Research,126468,2100,,3944.68,4249.325,1897.02,2.079408757,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Europe,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",104
119,,NEC,Germany,2020,Research,18688,1584,,3870.1,5605.63,647.99,5.972468711,Cluster,NEC Vector Engine,VEOS,Linux,None,8,SX-Aurora TSUBASA,Europe,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, InfiniBand HDR 100",105
120,VEGA HPC CPU,Atos,Slovenia,2021,Research,122880,2600,,3822,5367,,,Cluster,AMD Zen-2 (Rome),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100",106
121,Pratyush,HPE,India,2018,Research,119232,2100,,3763.94,4006.195,1353.23,2.78144883,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Asia,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",107
122,,HPE,Japan,2019,Industry,65208,2700,61440,3712,5365.0944,,,Cluster,Intel Skylake,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,HP Apollo,Asia,"Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",108
123,LLNL Ruby,Supermicro,United States,2020,Research,85568,2200,,3700.15,6023.99,,,Cluster,Intel Cascade lake,Linux/TOSS,Linux,None,28,Supermicro SuperServer,North America,"Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path",109
124,Orion,DELL EMC,United States,2019,Academic,70560,2400,,3665.72,5419.008,,,Cluster,Intel Skylake,Linux,Linux,None,20,Dell PowerEdge Cluster,North America,"PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",110
125,IARA,Nvidia,Brazil,2021,Research,24800,2250,21600,3657,4130.4,,,Cluster,AMD Zen-2 (Rome),Ubuntu,Linux,NVIDIA A100 SXM4 40 GB,64,NVIDIA DGX,South America,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband",111
